0,1,2,3,4,5,6,7,8
FRUIT COOKED HOMOGENIZED,59.0,0.3,0.0,,WINE,68.0,0.0,0.0
,,,,,VERMOUTHS AND SIMILAR,137.0,0.1,0.0
Dried fruits,,,,,BEVERAGES DIST. ALCOHOL,295.0,0.0,0.0
APRICOTS DRIED,238.0,3.7,0.5,,,,,
PLUMS DRIED,208.0,2.3,0.5,,MEAT AND PRODUCTS,,,
RAISINS,299.0,3.2,0.5,,,,,
FIGS DRIED,253.0,3.0,1.2,,BEEF BONELESS,150.0,18.5,7.9
DATES,156.0,1.5,0.4,,BEEF DRIED SALTED SMOKED,203.0,34.3,6.3
FRUIT TROPICAL NES DRIED,267.0,2.8,0.6,,MEAT EXTRACTS,238.0,16.0,8.9
FRUIT NES DRIED,267.0,2.8,0.6,,BEEF SAUSAGES,313.0,11.7,28.4
,,,,,BEEF PREPARATIONS,233.0,25.0,14.0
STIMULANTS,,,,,BEEF CANNED,233.0,25.0,14.0
COFFEE GREEN,47.0,6.7,0.0,,HOMOGENIZED MEAT PREPARED,110.0,13.7,5.7
COFFEE ROASTED,56.0,8.0,0.0,,LIVER PREPARATIONS,315.0,13.6,2.8
COFFEE SUBSTITUTES,56.0,8.0,0.0,,OFFALS OF CATTLE,105.0,18.4,2.5
COFFEE EXTRACTS,129.0,4.0,0.0,,BUFFALO MEAT,77.0,11.3,3.1
CHICORY ROOTS,60.0,1.1,0.2,,OFFALS OF BUFFALO,105.0,18.4,2.5
COCOA BEANS,414.0,4.0,40.0,,MUTTON AND LAMB,263.0,13.5,22.8
COCOA PASTE,472.0,1.7,44.0,,OFFALS OF SHEEP,117.0,14.6,5.7
COCOA BUTTER,711.0,0.0,85.0,,GOAT MEAT,123.0,14.0,7.0
COCOA POWDER,261.0,17.3,19.0,,OFFALS OF GOATS,117.0,14.6,5.7
CHOCOLATE PRODUCTS NES,393.0,4.2,35.7,,PIGMEAT,326.0,11.0,31.0
TEA,40.0,10.0,0.0,,PORK,220.0,13.4,18.0
EXTRACT TEA,18.0,4.5,0.0,,BACON - HAM OF PIGS,362.0,13.1,34.1
TEA NES,40.0,10.0,0.0,,PIG MEAT SAUSAGES,417.0,11.7,40.3
MATE,40.0,10.0,0.0,,PIG MEAT PREPARATIONS,239.0,16.1,18.8
,,,,,OFFALS OF PIGS,113.0,18.3,3.5
SPICES,,,,,CHICKEN MEAT,122.0,12.3,7.7
PEPPER WHITE/LONG/BLACK,276.0,10.7,2.7,,CHICKEN MEAT CANNED,165.0,21.8,8.0
PIMENTO,318.0,12.0,17.3,,OFFAL OF CHICKENS,125.0,18.0,3.9
CINNAMON,261.0,3.9,3.2,,FAT LIVER PREPARATIONS,462.0,11.4,43.8
CLOVES,323.0,6.0,20.1,,DUCK MEAT,291.0,8.3,28.3
NUTMEG,525.0,5.8,36.3,,OFFALS LIVER DUCKS,136.0,18.7,4.6
ANISE,345.0,15.8,14.9,,GOOSE MEAT,301.0,12.9,27.2
GINGER,347.0,9.1,6.0,,OFFALS LIVER GEESE,133.0,16.4,4.3
SPICES NES,337.0,11.3,15.5,,TURKEY MEAT,126.0,16.1,6.3
,,,,,OFFALS LIVER TURKEYS,137.0,20.0,4.0
ALCOHOLIC BEVERAGES,,,,,PIGEONS OTHER BIRDS,226.0,14.2,18.3
WHEAT FERMENTED BEVERAGE,60.0,1.9,0.3,,POULTRY MEAT,185.0,17.1,12.4
RICE FERMENTED BEVERAGE,133.0,0.3,0.0,,HORSEMEAT,85.0,15.5,2.0
BEER BARLEY,49.0,0.5,0.0,,OFFALS OF HORSES,105.0,18.4,2.5
BEER MAIZE,40.0,0.4,0.0,,MEAT OF ASSES,94.0,15.0,3.0
BEER MILLET,40.0,0.4,0.0,,MEAT OF MULES,94.0,15.0,3.0
BEER SORGHUM,40.0,0.4,0.0,,MEAT OF CAMELS,174.0,12.7,13.2
"FERMENTED BEVERAGES, CIDER ETC.",47.0,0.1,0.0,,OFFALS OF CAMELS,105.0,18.4,2.5
MUST OF GRAPES,61.0,0.6,0.1,,RABBIT MEAT,118.0,17.0,5.0
