0,1,2,3,4,5,6,7,8
MEAT OF OTHER RODENTS,81.0,16.2,1.4,,MOLLUSCS CANNED,98.0,14.9,2.6
MEAT OF OTHER CAMELIDS,143.0,14.6,9.0,,CEPHALOPODS FRESH,66.0,13.5,0.7
OFFALS OF OTHER CAMELIDS,105.0,18.4,2.5,,CEPHALOPODS FROZEN,74.0,15.1,0.9
GAME MEAT,104.0,18.0,3.0,,CEPHALOPODS CURED,341.0,61.6,6.2
MEAT NES,126.0,16.4,6.0,,CEPHALOPODS CANNED,137.0,20.8,2.8
MEAT NES DRIED,250.0,55.4,1.5,,CEPHALOPODS PREPARED NES,130.0,20.8,1.5
MEAT PREPARED NES,242.0,20.6,16.9,,AQUATIC MAMMALS MEAT,136.0,21.0,5.0
OFFALS NES,105.0,18.4,2.5,,AQUATIC MAMMALS PREPARED NES,156.0,20.6,7.5
SNAILS NOT SEA,42.0,6.3,0.5,,AQUATIC ANIMALS NES FRESH,30.0,4.0,0.2
,,,,,AQUATIC ANIMALS NES CURED,33.0,5.5,0.1
EGGS,,,,,AQUATIC ANIMALS PREPARED NES,168.0,11.5,3.8
HEN EGGS,139.0,10.7,9.8,,AQUATIC PLANTS,54.0,2.8,0.6
EGGS LIQUID HEN,158.0,12.1,11.2,,AQUATIC PLANTS DRIED,215.0,16.4,0.9
EGGS DRY HEN,594.0,45.8,41.8,,AQUATIC PLANTS PREPARED NES,312.0,1.3,1.2
EGG ALBUMINE,49.0,10.1,0.0,,,,,
EGGS EXCLUDING HEN EGGS,163.0,11.3,12.1,,MILK AND CHEESE,,,
,,,,,"COW MILK, WHOLE FRESH",61.0,3.3,3.3
FISH AND FISHERIES PRODUCTS,,,,,STANDARDIZED MILK,48.0,3.3,1.5
FRESHWATER DIADROMOUS FISH FRESH,69.0,10.9,2.5,,"CREAM, FRESH",195.0,2.7,19.3
FRESHWATER DIADROMOUS FISH FILLET,127.0,20.3,4.5,,WHOLE COW MILK EVAPORATED,134.0,6.8,7.6
FRESHWATER DIADROMOUS FISH CURED,199.0,31.3,7.2,,WHOLE COW MILK CONDENSED,321.0,7.9,8.7
FRESHWATER DIADROMOUS FISH CANNED,161.0,19.8,8.4,,WHOLE COW MILK DRY,496.0,26.3,26.7
FRESHWATER DIADROM. FISH PREPARED NES,262.0,26.9,15.0,,SKIM MILK OF COWS,35.0,3.4,0.2
DEMERSAL FISH FRESH,42.0,8.3,0.8,,SKIM MILK EVAPORATED,78.0,7.6,0.2
DEMERSAL FISH FILLET,90.0,17.9,1.6,,SKIM MILK CONDENSED,271.0,10.0,0.2
DEMERSAL FISH CURED,186.0,37.9,1.9,,SKIM MILK DRY,362.0,36.2,0.8
DEMERSAL FISH CANNED,173.0,25.0,6.3,,BUTTERMILK CURDLED,75.0,3.0,5.2
DEMERSAL FISH PREPARED NES,320.0,25.0,23.5,,BUTTERMILK DRY,387.0,34.3,5.8
PELAGIC FISH FRESH,86.0,12.6,3.6,,YOGHURT,61.0,3.5,3.3
PELAGIC FISH FILLET,141.0,20.2,6.0,,YOGHURT CONCENTRATED,82.0,4.7,1.5
PELAGIC FISH CURED,156.0,26.4,4.5,,RECONSTITUTED MILK,61.0,1.8,3.4
PELAGIC FISH CANNED,185.0,20.8,10.2,,CHEESE WHOLE COW MILK,387.0,25.0,31.0
PELAGIC FISH PREPARED NES,318.0,44.2,13.6,,CHEESE SKIM COW MILK,247.0,46.0,4.0
MARINE FISH NES FRESH,64.0,10.3,2.2,,WHEY CHEESE,72.0,12.4,1.0
MARINE FISH NES FILLET,115.0,19.0,3.8,,PROCESSED CHEESE,103.0,12.5,4.5
MARINE FISH NES CURED,169.0,32.1,3.2,,WHEY FRESH,26.0,0.8,0.2
MARINE FISH NES CANNED,179.0,22.9,8.2,,WHEY CONDENSED,26.0,0.9,0.3
MARINE FISH PREPARED NES,132.0,17.5,5.0,,WHEY DRY,346.0,12.3,0.8
CRUSTACEANS FRESH,47.0,9.3,0.5,,CASEIN,427.0,100.0,0.0
CRUSTACEANS FROZEN,91.0,18.4,0.8,,BUFFALO MILK,97.0,3.8,6.9
CRUSTACEANS CURED,149.0,25.4,1.3,,SKIM MILK OF BUFFALO,41.0,4.3,0.1
CRUSTACEANS CANNED,98.0,19.8,1.1,,CHEESE BUFFALO MILK,269.0,16.9,22.0
CRUSTACEANS PREPARED NES,113.0,19.5,1.8,,SHEEP MILK,94.0,5.9,6.0
MOLLUSCS FRESH,15.0,2.3,0.2,,CHEESE SHEEP MILK,310.0,23.2,22.8
MOLLUSCS FROZEN,71.0,10.5,1.2,,SKIM MILK OF SHEEP,48.0,6.1,0.4
MOLLUSCS CURED,345.0,49.4,4.7,,GOAT MILK,69.0,3.6,4.1
